"Package","LinkedPackage"
"aroma.cn","R (>= 2.9.0)"
"aroma.cn","aroma.core (>= 1.6.0)"
"aroma.cn","aroma.light (>= 1.16.0)"
"aroma.core","R (>= 2.9.0)"
"aroma.core","R.methodsS3 (>= 1.2.0)"
"aroma.core","R.oo (>= 1.7.3)"
"aroma.core","R.utils
(>= 1.4.3)"
"aroma.core","R.cache (>= 0.3.0)"
"aroma.core","R.filesets (>= 0.8.3)"
"aroma.core","R.rsp
(>= 0.3.6)"
"aroma.core","matrixStats (>= 0.2.1)"
"aroma.core","digest (>= 0.4.2)"
"aroma.core","aroma.light (>= 1.16.0)"
"aroma.light","R.methodsS3 (>= 1.2.0)"
"arrayImpute","RGtk2"
"arrayImpute","cairoDevice"
"arrayImpute","impute"
"arrayImpute","matlab"
"arrayImpute","quantreg"
"arrayImpute","gnm"
"arrayImpute","nlme"
"arrayMissPattern","RGtk2"
"arrayMissPattern","cairoDevice"
"arrayMissPattern","spatstat"
"ars","R (>= 2.4.0)"
"arules","R (>= 2.7.0)"
"arules","stats"
"arules","methods"
"arules","Matrix (>= 0.999375-9)"
"arulesNBMiner","R (>= 2.6.0)"
"arulesNBMiner","arules (>= 0.6-6)"
"arulesNBMiner","rJava (>= 0.6-3)"
"arulesSequences","R (>= 2.7.0)"
"arulesSequences","methods"
"arulesSequences","arules (>= 0.6-6)"
"asbio","plotrix"
"asbio","vegan"
"asbio","MASS"
"ascii","R (>= 2.7)"
"ascii","proto"
"asd","mvtnorm"
"aspace","R (>= 2.11.1)"
"aspace","adehabitat"
"aspace","ade4"
"aspace","gpclib"
"aspace","sp"
"aspace","maptools"
"aspace","splancs"
"aspace","Hmisc"
"assist","R (>= 1.7.0)"
"assist","nlme"
"aster","R (>= 2.4.1)"
"aster","trust"
"asypow","R (>= 2.2.0)"
"asypow","stats"
"atmi","R (>= 2.9.0)"
"atmi","TTR"
"audio","R (>= 2.0.0)"
"automap","R (>= 2.7.0)"
"automap","methods"
"automap","sp (>= 0.9-4)"
"automap","gstat (>= 0.9-58)"
"aws","R (>= 2.5.0)"
"aws","methods"
"aylmer","methods"
"aylmer","Brobdingnag"
"aylmer","partitions"
"B2Z","numDeriv"
"B2Z","coda"
"B2Z","mvtnorm"
"BACCO","emulator"
"BACCO","calibrator"
"BACCO","approximator"
"backfitRichards","R (>= 2.0.0)"
"backfitRichards","richards (>= 0.5)"
"backfitRichards","methods"
"backtest","R (>= 2.3.0)"
"backtest","methods"
"backtest","grid"
"backtest","lattice"
"BaM","R (>= 1.4.1)"
"BaM","bayesm"
"BaM","coda"
"BaM","MASS"
"BaM","stats"
"BaM","mice"
"BaM","survival"
"BaM","foreign"
"BaM","nnet"
"BAMD","coda"
"BARD","digest"
"BAS","R (>= 2.8)"
"BAS","stats"
"bayescount","R (>= 2.6)"
"bayescount","runjags (>= 0.9.5)"
"bayescount","coda"
"bayescount","lattice"
"bayescount","stats"
"bayescount","utils"
"BayesDA","stats"
"BayesDA","R (>= 2.2.0)"
"bayesGARCH","mvtnorm"
"bayesGARCH","coda"
"bayesm","R (>= 2.5.1)"
"bayesmix","R (>= 2.10)"
"bayesmix","rjags (>= 2.1.0)"
"bayesmix","coda (>= 0.13)"
"BayesQTLBIC","leaps"
"bayesSurv","R (>= 2.0.0)"
"bayesSurv","survival"
"bayesSurv","coda"
"bayesSurv","smoothSurv"
"BayesTree","nnet"
"BayesValidate","R (>= 2.0.1)"
"BayesX","akima"
"BayesX","shapefiles"
"BayHaz","R (>= 1.8.0)"
"BayHaz","splines"
"BAYSTAR","R (>= 2.8.0)"
"BAYSTAR","mvtnorm"
"BB","R (>= 2.6.1)"
"BB","quadprog"
"bbmle","R (>= 2.0.0)"
"bbmle","methods"
"bbmle","stats"
"bbmle","graphics"
"bbmle","stats4"
"bbmle","numDeriv"
"BCE","R (>= 2.0.1)"
"BCE","limSolve"
"Bchron","hdrcde"
"Bchron","coda"
"Bchron","svDialogs"
"bclust","R (>= 2.8.1)"
"bcp","methods"
"bcp","stats"
"bcp","graphics"
"bcp","foreach"
"bdsmatrix","methods"
"bdsmatrix","R (>= 2.0.0)"
"bear","R (>= 2.10.0)"
"bear","reshape"
"bear","nlme"
"bear","sciplot"
"bear","plotrix"
"bear","ICSNP"
"bear","gdata"
"benchmark","utils"
"benchmark","proto"
"benchmark","ggplot2"
"benchmark","reshape"
"benchmark","relations"
"Bergm","network"
"Bergm","ergm"
"Bergm","coda"
"bestglm","R (>= 2.0.0)"
"bestglm","leaps"
"betaper","vegan"
"betaper","ellipse"
"betareg","R (>= 2.6.0)"
"betareg","stats"
"betareg","Formula"
"bethel","R (>= 2.5.0)"
"bfast","R (>= 2.0.0)"
"bfast","strucchange"
"bfast","MASS"
"bfast","forecast"
"BHH2","R (>= 2.0.0)"
"biclust","MASS"
"biclust","grid"
"biclust","vcd"
"biclust","colorspace"
"bifactorial","mvtnorm"
"bifactorial","multcomp"
"bifactorial","lattice"
"bifactorial","graphics"
"bifactorial","methods"
"bifactorial","Rcpp (>= 0.7.4)"
"biganalytics","methods"
"biganalytics","stats"
"biganalytics","utils"
"biganalytics","bigmemory (>= 4.0.0)"
"biglars","R (>= 2.10)"
"biglars","ff"
"biglm","DBI"
"biglm","methods"
"bigmemory","methods"
"bigmemory","utils"
"bigtabulate","methods"
"bigtabulate","bigmemory (>= 4.0.0)"
"bild","R (>= 2.11.0)"
"bild","methods"
"bild","stats"
"bild","graphics"
"bild","utils"
"bindata","e1071"
"bindata","mvtnorm (>= 0.7-0)"
"binhf","wavethresh"
"binhf","adlift (>= 0.9-2)"
"binMto","mvtnorm"
"binom","lattice"
"binomSamSize","binom"
"bio.infer","R (>= 2.7.0)"
"bio.infer","tcltk"
"BiodiversityR","R (>= 2.9.0)"
"BiodiversityR","vegan (>= 1.15-3)"
"BioIDMapper","R (>= 2.7.0)"
"BioIDMapper","RCurl"
"BioIDMapper","XML"
"BioIDMapper","lattice"
"BioIDMapper","gWidgetsRGtk2 (>= 0.0-36)"
"BioPhysConnectoR","R (>= 2.8.0)"
"BioPhysConnectoR","snow"
"BioPhysConnectoR","matrixcalc"
"biOpsGUI","R (>= 2.4.0)"
"biOpsGUI","RGtk2"
"biOpsGUI","biOps"
"BioStatR","R (>= 2.8.0)"
"bipartite","MASS"
"bipartite","vegan"
"BiplotGUI","R (>= 2.8.0)"
"BiplotGUI","deldir"
"BiplotGUI","rgl (>= 0.79)"
"BiplotGUI","tcltk"
"BiplotGUI","tcltk2 (>= 1.0-7)"
"BiplotGUI","tkrplot (>= 0.0-18)"
"bise","R (>= 1.9)"
"bisoreg","R (>= 2.7.0)"
"bisoreg","bootstrap"
"bisoreg","monreg"
"bisoreg","R2WinBUGS"
"bisoreg","coda"
"bit","R (>= 2.9.2)"
"biwt","R (>= 2.1.0)"
"biwt","rrcov"
"biwt","MASS"
"BLCOP","methods"
"BLCOP","MASS"
"BLCOP","quadprog"
"blighty","utils"
"blockTools","MASS"
"blockTools","gtools"
"blockTools","nbpMatching"
"blockTools","xtable"
"BLR","R (>= 2.9.0)"
"BLR","SuppDists"
"BMA","survival"
"BMA","leaps"
"bmd","R (>= 2.6.0)"
"bmd","drc"
"Bmix","mvtnorm"
"BMN","R (>= 2.6.0)"
"BMS","R (>= 2.5)"
"BMS","methods"
"bnlearn","R (>= 2.8.0)"
"bnlearn","utils"
"boa","R (>= 1.7)"
"boolean","R (>= 2.0.1)"
"boolean","Zelig"
"boolfun","R (>= 2.3.0)"
"boolfun","R.oo"
"boot","R (>= 2.9.0)"
"boot","graphics"
"boot","stats"
"BootPR","zoo"
"BootPR","combinat"
"bootRes","base"
"bootRes","stats"
"bootRes","utils"
"bootspecdens","MASS"
"bootStepAIC","R(>= 2.3.0)"
"bootStepAIC","MASS"
"bootstrap","stats"
"bootstrap","R (>= 2.1.0)"
"Boruta","R (>= 2.0.0)"
"Boruta","randomForest"
"bpca","R (>= 2.6.0)"
"bpca","scatterplot3d"
"bpca","rgl"
"bpca","MASS"
"BPHO","R (>= 2.5.1)"
"bqtl","R (>= 2.6.0)"
"BradleyTerry","R (>= 2.10.1)"
"BradleyTerry2","R (>= 1.8.0)"
"brainwaver","R (>= 1.5.0)"
"brainwaver","waveslim"
"brglm","R (>= 2.6.0)"
"brglm","profileModel"
"Brobdingnag","R (>= 2.6.0)"
"Brobdingnag","methods"
"Brobdingnag","graphics"
"bs","R (>= 1.8.0)"
"bs","nlme"
"bs","methods"
"BSagri","R (>= 2.7.0)"
"BSagri","mvtnorm"
"BSagri","multcomp"
"BSagri","gamlss"
"BSagri","mratios"
"BSagri","MCPAN"
"BSagri","pairwiseCI"
"BSagri","lattice"
"BSagri","geepack"
"BSagri","boot"
"BSDA","e1071"
"BsMD","R(>= 2.7.0)"
"BTSPAS","R2WinBUGS"
"BTSPAS","coda"
"BTSPAS","splines"
"BTSPAS","actuar"
"BTSPAS","BRugs"
"bvpSolve","R (>= 2.01)"
"bvpSolve","rootSolve"
"bvpSolve","deSolve"
"ca","R (>= 2.0.0)"
"ca","rgl (>= 0.64-10)"
"cacher","R (>= 2.10.0)"
"cacheSweave","R (>= 2.9.0)"
"cacheSweave","filehash"
"cacheSweave","stashR"
"CADFtest","dynlm"
"CADFtest","sandwich"
"CADFtest","tseries"
"CADFtest","urca"
"CADStat","JGR"
"CADStat","XML"
"CADStat","lattice"
"CADStat","bio.infer"
"CADStat","gdata"
"CADStat","gmodels"
"CADStat","car"
"CADStat","MASS"
"CADStat","quantreg"
"CADStat","rpart"
"CADStat","rJava"
"caGUI","R (>= 2.0.0)"
"caGUI","rgl (>= 0.64-10)"
"caGUI","ca (>= 0.2-1)"
"caGUI","tcltk2 (>=
1.0-7)"
"caGUI","RODBC"
"Cairo","R (>= 2.4.0)"
"cairoDevice","R (>= 2.7.0)"
"CalciOMatic","cobs"
"calib","R (>= 2.7.0)"
"calib","stats"
"calib","nlme"
"calib","methods"
"calibrate","R (>= 1.8.0)"
"calibrator","R (>= 2.0.0)"
"calibrator","emulator"
"caMassClass","R (>= 2.0.0)"
"caMassClass","PROcess"
"caMassClass","e1071"
"caMassClass","nnet"
"caMassClass","rpart"
"caMassClass","caTools"
"caMassClass","XML"
"caMassClass","digest"
"caMassClass","MASS"
"candisc","car"
"candisc","heplots (>= 0.8-6)"
"candisc","graphics"
"candisc","stats"
"canvas","R (>= 2.8.1)"
"car","R (>= 2.1.1)"
"car","stats"
"car","graphics"
"car","MASS"
"car","nnet"
"car","survival"
"CarbonEL","R (>= 2.0.0)"
"CarbonEL","grDevices"
"care","R (>= 2.7.0)"
"care","corpcor (>= 1.5.7)"
"caret","R (>= 2.5.1)"
"caret","lattice"
"caret","reshape"
"caret","stats"
"caroline","R (>= 1.8.0)"
"catnet","R (>= 2.9.0)"
"catnet","methods"
"caTools","R (>= 2.2.0)"
"caTools","bitops"
"catR","R (>= 2.8.0)"
"CausalGAM","R (>= 2.9.0)"
"CausalGAM","gam (>= 1.0.1)"
"CAVIAR","R (>= 2.10.1)"
"cba","R (>= 2.4.1)"
"cba","grid"
"cba","proxy"
"CCA","fda"
"CCA","fields"
"ccems","odesolve"
"ccems","snow"
"ccems","PolynomF"
"ccgarch","R (>= 2.6.1)"
"cclust","stats"
"CCMtools","R (>= 1.8.0)"
"CCMtools","mclust"
"CCMtools","class"
"CCMtools","tree"
"CCMtools","mvtnorm"
"CDFt","R (>= 1.8.0)"
"CDNmoney","R (>= 2.5.0)"
"CellularAutomaton","R.oo"
"cellVolumeDist","minpack.lm (>= 1.1-1)"
"cellVolumeDist","gplots"
"cem","R (>= 2.6.0)"
"cem","nlme"
"cem","lattice"
"cem","randomForest"
"cem","tcltk"
"censReg","R (>= 2.4.0)"
"censReg","maxLik (>= 0.7-3)"
"cfa","R (>= 2.00)"
"cggd","R (>= 2.4.0)"
"cggd","grDevices"
"cggd","graphics"
"cggd","stats"
"cggd","utils"
"cgh","R (>= 2.6.0)"
"ChainLadder","Hmisc"
"ChainLadder","lattice"
"ChainLadder","Matrix"
"ChainLadder","methods"
"ChainLadder","stats"
"ChainLadder","systemfit"
"changeLOS","R (>= 1.8.1)"
"changeLOS","survival"
"charlson","R (>= 2.8)"
"charlson","plyr"
"charlson","reshape"
"chemometrics","class"
"chemometrics","e1071"
"chemometrics","lars"
"chemometrics","MASS"
"chemometrics","mclust"
"chemometrics","nnet"
"chemometrics","pcaPP"
"chemometrics","pls"
"chemometrics","rpart"
"chemometrics","robustbase"
"chemometrics","som"
"CHNOSZ","R (>= 2.7.0)"
"CHNOSZ","utils"
"choplump","R (>= 2.5.0)"
"choplump","stats"
"chplot","ellipse"
"chplot","KernSmooth"
"chplot","lattice"
"chron","R (>= 2.4.0)"
"cimis","R (>= 2.8.1)"
"CircNNTSR","stats"
"CircSpatial","R (>= 2.10.0)"
"CircSpatial","fields (>= 6.01)"
"CircSpatial","CircStats (>= 0.2-4)"
"CircSpatial","geoR
(>= 1.6-27)"
"CircSpatial","RandomFields (>= 1.3.41)"
"CircSpatial","spam (>= 0.15-5)"
"CircSpatial","MASS
(>= 7.3-3)"
"CircSpatial","sp (>= 0.9-44)"
"CircSpatial","tcltk (>= 2.10.0)"
"CircStats","MASS"
"CircStats","boot"
"circular","boot"
"class","R (>= 2.5.0)"
"class","stats"
"class","utils"
"classGraph","methods"
"classGraph","graph"
"classGraph","Rgraphviz"
"classifly","rggobi"
"classifly","rpart"
"classifly","MASS"
"classifly","nnet"
"classifly","class"
"classifly","e1071"
"classifly","reshape"
"classInt","R (>= 2.2)"
"classInt","grDevices"
"classInt","stats"
"classInt","class"
"classInt","e1071"
"clim.pact","ncdf"
"clim.pact","akima"
"clim.pact","R (>= 2.8.0)"
"climatol","R (>= 1.8.0)"
"clinfun","R (>= 2.0.0)"
"clinfun","graphics"
"clinfun","stats"
"ClinicalRobustPriors","R (>= 2.7.2)"
"clue","R (>= 2.7.0)"
"clues","R (>= 2.8.1)"
"clues","stats"
"clues","utils"
"cluster","R (>= 2.9.0)"
"cluster","stats"
"cluster","graphics"
"cluster","utils"
"clusterCons","methods"
"clusterCons","cluster"
"clusterCons","lattice"
"clusterCons","RColorBrewer"
"clusterCons","grid"
"clusterfly","rggobi"
"clusterfly","ggplot2"
"clusterfly","e1071"
"clusterfly","cluster"
"clusterGeneration","R (>= 2.8.1)"
"clusterGeneration","MASS"
"clusterRepro","R (>= 2.2.0)"
"clusterSim","ade4"
"clusterSim","cluster"
"clusterSim","R2HTML"
"clusterSim","e1071"
"clusterSim","rgl"
"clusterSim","MASS"
"clustTool","R (>= 2.2.0)"
"clustTool","mvoutlier"
"clustTool","cluster"
"clustTool","randomForest"
"clustTool","tcltk"
"clustTool","e1071"
"clustTool","rpart"
"clustTool","class"
"clustTool","grid"
"clustTool","mclust"
"clustTool","flexclust"
"clustTool","vegan"
"clustTool","clue"
"clustTool","mvpart"
"clustTool","lattice"
"clustTool","kernlab"
"clustTool","compositions"
"clustvarsel","mclust"
"clv","cluster"
"clv","class"
"clValid","R (>= 2.0)"
"clValid","methods"
"clValid","cluster"
"clValid","kohonen"
"clValid","class"
"clValid","mclust"
"cmaes","R (>= 2.9.0)"
"cmprsk","R (>= 2.6.0)"
"cmprsk","survival"
"cmrutils","R (>= 2.8.1)"
"cmrutils","grDevices"
"cmrutils","chron"
"CNVassoc","R (>= 2.8.0)"
"CNVassoc","mixdist"
"CNVassoc","mclust"
"CNVassoc","survival"
"coarseDataTools","survival"
"cobs","R (>= 2.6.2)"
"cobs","SparseM"
"cobs","quantreg"
"cobs","splines"
"cobs","grDevices"
"cobs","graphics"
"cobs","stats"
"cobs","utils"
"CoCo","R (>= 2.10.0)"
"CoCo","methods"
"CoCoCg","R (>= 2.10.0)"
"CoCoCg","methods"
"CoCoCg","CoCo"
"CoCoGraph","R (>= 2.10.0)"
"CoCoGraph","dynamicGraph (>= 0.2.0)"
"CoCoGraph","MASS"
"CoCoGraph","methods"
"CoCoGraph","CoCo"
"cocorresp","stats"
"cocorresp","graphics"
"cocorresp","vegan"
"coda","R (>= 2.5.0)"
"coda","lattice"
"codep","R (>= 2.0.0)"
"codep","stats"
"codetools","R (>= 2.1)"
"coenoflex","mgcv"
"coin","R (>= 2.2.0)"
"coin","methods"
"coin","survival"
"coin","mvtnorm (>= 0.8-0)"
"coin","modeltools (>= 0.2-9)"
"colbycol","rJava"
"CollocInfer","R (>= 2.4.0)"
"CollocInfer","fda"
"CollocInfer","MASS"
"CollocInfer","odesolve"
"CollocInfer","Matrix"
"CollocInfer","SparseM"
"colorspace","R (>= 2.0.0)"
"colorspace","methods"
"CombMSC","R(>= 2.4.0)"
"compareGroups","R (>= 2.11.0)"
"compareGroups","xtable"
"compareGroups","Hmisc"
"compareGroups","gdata"
"compareGroups","tcltk"
"compareGroups","foreign"
"compoisson","stats"
"compoisson","MASS"
"compositions","R (>= 2.2.0)"
"compositions","rgl"
"compositions","tensorA"
"compositions","robustbase"
"CompRandFld","R (>= 2.9.0)"
"compute.es","R (>= 2.10.1)"
"concor","R (>= 0.99)"
"cond","R (>= 2.6.0)"
"cond","statmod"
"cond","survival"
"condGEE","R (>= 2.01)"
"condGEE","numDeriv"
"condGEE","rootSolve"
"constrainedKriging","R (>= 2.9.0)"
"constrainedKriging","sp(>= 0.9-60)"
"constrainedKriging","spatialCovariance(>= 0.6-4)"
"constrainedKriging","methods"
"contrast","R (>= 2.2.1)"
"contrast","Design"
"ConvergenceConcepts","R (>= 2.5.0)"
"ConvergenceConcepts","tkrplot"
"ConvergenceConcepts","lattice"
"convexHaz","R (>= 2.4)"
"COP","dr"
"copas","meta (>= 0.8)"
"copula","methods"
"copula","mvtnorm"
"copula","scatterplot3d"
"copula","sn"
"copula","pspline"
"corpcor","R (>= 2.7.0)"
"corpora","R (>= 2.0.0)"
"CorrBin","R(>= 2.6.0)"
"CorrBin","boot"
"CORREP","e1071"
"corrsieve","methods"
"CoxBoost","survival"
"coxme","survival"
"coxme","bdsmatrix"
"coxme","R (>= 2.0.0)"
"coxphf","R (>= 2.9.2)"
"coxphf","survival"
"coxphw","R (>= 2.4.0)"
"coxphw","survival"
"coxrobust","R (>= 2.0.0)"
"coxrobust","survival"
"COZIGAM","R (>= 2.7.1)"
"COZIGAM","mgcv"
"CPE","R (>= 2.10.0)"
"CPE","survival"
"CPE","Design"
"Cprob","prodlim"
"Cprob","tpr"
"Cprob","lattice"
"Cprob","geepack"
"cramer","R (>= 0.65)"
"cramer","boot"
"crawl","R (>= 2.4.0)"
"crawl","mvtnorm"
"CreditMetrics","R (>= 2.2.0)"
"crmn","pcaMethods (>= 1.24.0)"
"crmn","Biobase"
"crmn","pls"
"crmn","methods"
"crossdes","AlgDesign"
"crossdes","gtools"
"crossdes","MASS"
"crosshybDetector","marray"
"crosshybDetector","methods"
"csampling","R (>= 2.6.0)"
"csampling","marg"
"csampling","statmod"
"csampling","survival"
"cshapes","R (>= 2.8.0)"
"cshapes","sp"
"cshapes","maptools"
"cshapes","rJava"
"cthresh","R (>= 2.0)"
"cthresh","wavethresh"
"ctv","R (>= 2.11.0)"
"ctv","utils"
"cudaBayesreg","R (>= 2.9.2)"
"cudaBayesreg","oro.nifti"
"cumSeg","lars"
"curvetest","locfit"
"CVThresh","R (>= 2.1)"
"CVThresh","wavethresh (>= 2.2-10)"
"CVThresh","EbayesThresh (>= 1.3.0)"
"cwhmisc","R (>= 2.0)"
"cwhmisc","lattice"
"cxxPack","R (>= 2.10.0)"
"cxxPack","Rcpp (>= 0.8.2)"
"cxxPack","RUnit"
"cxxPack","zoo"
"cyclones","ncdf"
"cyclones","akima"
"cyclones","clim.pact"
"cyclones","R (>= 2.3.1)"
"DAAG","R (>= 2.0.1)"
"DAAG","MASS"
"DAAG","rpart"
"DAAG","randomForest"
"DAAGbio","R (>= 2.4.0)"
"DAAGbio","limma (>= 2.9.15)"
"DAAGxtras","R (>= 2.4.0)"
"dae","R (>= 2.10.0)"
"dae","lattice"
"dae","methods"
"dafs","s20x"
"Daim","R (>= 2.6.0)"
"DAKS","R (>= 2.11.1)"
"DAKS","relations"
"DAKS","sets"
"DAMisc","effects"
"DAMisc","sm"
"DAMisc","rpanel"
"data.table","R (>= 2.6.2)"
"DatABEL","R (>= 2.4.0)"
"DatABEL","methods"
"dataframes2xls","R (>= 2.0.0)"
"datamap","DBI"
"date","graphics"
"DBI","R (>= 2.3.0)"
"DBI","methods"
"dblcens","R (>= 2.0)"
"dcemri","R (>= 2.6.0)"
"dcemri","graphics"
"dcemri","grDevices"
"dcemriS4","R (>= 2.6.0)"
"dcemriS4","grDevices"
"dcemriS4","graphics"
"dcemriS4","methods"
"dcemriS4","oro.nifti"
"dcemriS4","utils"
"DCGL","R (>= 2.8.1)"
"DCGL","igraph"
"dclone","R (>= 2.7.0)"
"dclone","rjags"
"dclone","coda (>= 0.13)"
"dclone","R2WinBUGS"
"dclone","snow"
"DCluster","R (>= 1.6.2)"
"DCluster","boot"
"DCluster","spdep"
"ddesolve","R (>= 2.6.0)"
"ddst","R (>= 2.7.0)"
"ddst","orthopolynom"
"ddst","evd"
"deal","R (>= 2.0.0)"
"debug","R (>= 2.10)"
"debug","mvbutils (>= 2.5.1)"
"debug","tcltk"
"Deducer","R (>= 2.10.0)"
"Deducer","rJava (>= 0.8-4)"
"Deducer","ggplot2 (>= 0.8)"
"Deducer","JGR(>=
1.7)"
"Deducer","car"
"Deducer","multcomp"
"Deducer","effects"
"Deducer","foreign"
"DeducerExtras","Deducer"
"DeducerPlugInExample","Deducer"
"deldir","R (>= 0.99)"
"delftfews","R (>= 2.9.2)"
"delftfews","XML"
"delftfews","logging (>= 0.4)"
"delftfews","zoo (>= 1.6)"
"delt","denpro (>= 0.9)"
"DEMEtics","R (>= 2.8.0)"
"demography","R (>= 2.6.0)"
"demography","forecast (>= 1.0)"
"demography","rainbow"
"demography","ftsa"
"Depela","stats"
"Depela","stats4"
"Depela","copula"
"Depela","R (>= 2.8.0)"
"depmix","R (>= 2.9.1)"
"depmix","MASS"
"depmixS4","R (>= 2.11.1)"
"depmixS4","stats"
"depmixS4","nnet"
"depmixS4","methods"
"depmixS4","MASS"
"depmixS4","Rsolnp"
"depth","R (>= 2.4.0)"
"depth","grDevices"
"depth","rgl"
"descr","xtable"
"DescribeDisplay","grid"
"DescribeDisplay","reshape (>= 0.7.1)"
"DescribeDisplay","ggplot2 (>= 0.8.3)"
"DescribeDisplay","proto"
"Design","Hmisc (>= 3.6-0)"
"Design","survival"
"DesignPatterns","R (>= 2.3.0)"
"DesignPatterns","methods"
"desirability","lattice"
"desire","R (>= 2.9.0)"
"desire","loglognorm"
"deSolve","R (>= 2.6.0)"
"Devore5","R(>= 1.5.0)"
"Devore6","R(>= 2.2.0)"
"Devore7","R(>= 2.4.0)"
"dglm","R (>= 1.0)"
"dglm","statmod(>= 1.0.8)"
"DiagnosisMed","R (>= 2.7.2)"
"DiagnosisMed","epitools"
"DiagnosisMed","TeachingDemos"
"DiagnosisMed","tcltk"
"DiagnosisMed","AMORE"
"DiagnosisMed","utils"
"diagram","R (>= 2.01)"
"diagram","shape"
"dice","R (>= 2.0.0)"
"dice","gtools"
"DiceEval","DiceKriging"
"DiceKriging","methods"
"DiceOptim","DiceKriging"
"DiceOptim","rgenoud"
"DiceOptim","MASS"
"DierckxSpline","R (>= 2.4.0)"
"DierckxSpline","stats"
"DierckxSpline","lattice"
"DierckxSpline","PolynomF"
"diffusionMap","R (>= 2.4.0)"
"diffusionMap","scatterplot3d"
"diffusionMap","igraph"
"diffusionMap","Matrix"
