"Package","User","Installed"
"uncompress",43,0
"fuzzyOP",1,0
"treelet",44,0
"ICEinfer",5,1
"xgobi",3,0
"tgp",61,0
"simPopulation",15,0
"plotrix",8,1
"IFP",62,0
"RgoogleMaps",49,1
"RGtk2",34,0
"logging",11,0
"diffusionMap",25,0
"WMCapacity",62,0
"Davies",9,0
"RPyGeo",55,0
"cmrutils",47,0
"datamap",15,0
"sensR",61,0
"fortunes",33,0
"networksis",25,0
"optimx",63,0
"rqmcmb2",42,0
"fftw",65,0
"R.huge",42,0
"RSEIS",26,0
"amap",25,0
"Deducer",28,1
"mi",31,0
"financial",46,0
"mathgraph",4,0
"nlreg",33,0
"kohonen",25,0
"GDD",15,0
"MLDA",45,0
"JavaGD",35,0
"DAMisc",1,0
"randomForest",7,0
"Devore5",57,0
"psgp",13,0
"scapeMCMC",13,0
"eigenmodel",51,0
"mapReduce",48,0
"cmprsk",9,0
"kst",27,0
"R2HTML",11,0
"hergm",19,0
"ensembleBMA",58,0
"CAVIAR",62,0
"DoE.base",62,0
"ftsa",45,0
"classInt",1,0
"interval",7,0
"optimx",60,0
"cairoDevice",30,1
"PK",4,0
"rgenoud",15,0
"diamonds",46,0
"qualityTools",51,0
"edci",19,0
"Daim",5,1
"micEconCES",64,0
"phyclust",50,0
"nppbib",13,0
"filehashSQLite",64,0
"futile",1,0
"LMGene",28,0
"codetools",6,1
"sspir",14,0
"IFP",19,0
"fitdistrplus",43,0
"XML",4,1
"tgp",5,1
"PBSddesolve",31,0
"PCIT",65,0
"rhosp",43,0
"gof",31,0
"StatDataML",54,0
"Rcpp",63,1
"remMap",49,0
"mapLD",54,0
"orloca.es",46,0
"mvoutlier",36,0
"CausalGAM",25,0
"isa2",49,0
"RPyGeo",35,0
"dti",54,0
"dclone",13,0
"testthat",54,0
"EvalEst",7,0
"MChtest",58,0
"fingerprint",60,0
"qcc",6,1
"fSeries",29,1
"Devore5",62,0
"cairoDevice",4,0
"HybridMC",48,0
"SQUAREM",54,0
"RandForestGUI",26,0
"gsubfn",31,1
"paran",46,0
"cthresh",15,0
"pairwiseCI",31,0
"charlson",60,0
"isdals",16,0
"fMultivar",41,0
"futile.logger",16,0
"WDI",63,0
"plan",27,0
"KMsurv",40,0
"RobLox",60,0
"npRmpi",29,0
"DBI",27,1
"backfitRichards",9,0
"covRobust",44,0
"BGSIMD",50,0
"nlrwr",11,0
"Boruta",43,0
"gene2pathway",50,0
"merror",26,0
"ldbounds",62,0
"classInt",7,0
"epinet",57,0
"Geneland",62,0
"RcmdrPlugin.SurvivalT",48,0
"relsurv",49,0
"ddst",42,0
"PBSadmb",40,0
"limSolve",35,0
"saws",14,0
"fftw",25,0
"nltm",65,0
"superpc",46,0
"datamap",27,0
"codep",56,0
"mclogit",45,0
"BHH2",47,0
"rattle",11,0
"futile.matrix",46,0
"BSagri",57,0
"GOSim",40,0
"SHARE",34,0
"DiversitySampler",56,0
"Imap",4,0
"tuneR",1,0
"fracdiff",30,1
"SGP",13,0
"stepPlr",33,0
"Geneland",14,0
"siar",40,0
"multic",16,0
"cheb",65,0
"sddpack",50,0
"surv2sample",29,0
"caMassClass",64,0
"ptw",37,0
"svmpath",51,0
"cramer",41,0
"hydrogeo",29,0
"amei",64,0
"MAclinical",35,0
"actuar",43,1
"psyphy",3,0
"PLIS",46,0
"TreePar",44,0
"FKF",46,0
"hwriter",29,0
"SNPMaP",6,0
"nFactors",40,0
"gamlss.mx",50,0
"tdm",27,0
"statnet",30,0
"tdm",59,0
"moonsun",8,0
"WDI",65,0
"meboot",5,1
"stream.net",7,0
"accuracy",62,0
"fbati",56,0
"BSagri",16,0
"mrt",37,0
"envelope",30,0
"oce",64,0
"powerSurvEpi",56,0
"qvalue",62,0
"GAMBoost",6,0
"gamlss.demo",36,0
"JM",35,0
"NetData",14,0
"mixPHM",56,0
"codep",35,0
"MCE",35,0
"EMCC",27,0
"mokken",47,0
"nls2",14,0
"YieldCurve",7,0
"histogram",19,0
"LLdecomp",26,0
"sca",44,0
"effects",21,0
"SASxport",62,0
"gumbel",25,0
"maticce",41,0
"R2WinBUGS",51,0
"Rserve",37,0
"SpatialNP",64,0
"lqa",40,0
"trackObjs",33,0
"fuzzyOP",46,0
"ipred",13,0
"MFDF",4,0
"SemiPar",25,0
"MMIX",27,0
"fSeries",26,1
"PBSmodelling",7,0
"proftools",26,0
"RGraphics",56,0
"Rassoc",43,0
"pedantics",45,1
"ReacTran",5,1
"sensitivity",48,0
"mcsm",11,0
"ifs",28,0
"ade4",7,0
"MKmisc",42,0
"elrm",42,0
"SpatialEpi",33,0
"DoseFinding",45,0
"rootSolve",35,0
"USPS",21,0
"outliers",63,0
"modTempEff",50,0
"multinomRob",44,0
"VizCompX",54,0
"MCMCpack",45,0
"lpSolveAPI",29,0
"ecespa",56,0
"crosshybDetector",26,0
"mrdrc",3,0
"inlinedocs",46,0
"reshape",60,0
"trio",41,0
"biwt",64,0
"asbio",8,0
"Runiversal",21,0
"pspearman",58,0
"NRAIA",4,0
"base",14,1
"dynGraph",6,0
"conf.design",51,0
"Unicode",29,0
"GGally",50,0
"crossdes",5,1
"snp.plotter",37,0
"calib",25,0
"NADA",3,0
"corrplot",43,0
"RQuantLib",4,0
"pcse",46,0
"waveclock",11,0
"PairViz",37,0
"ResistorArray",47,0
"ref",25,0
"integrativeME",11,0
"flsa",47,0
"forward",6,0
"rworldmap",6,0
"WDI",41,0
"eRm",46,0
"audio",44,0
"mvsf",21,0
"sigclust",56,0
"penalizedSVM",37,0
"RcmdrPlugin.Export",48,0
"fastICA",35,0
"gcolor",8,0
"TTR",34,0
"haarfisz",31,0
"ttime",31,0
"meta",40,0
"simone",19,0
"car",42,1
"moments",3,0
"MOCCA",40,0
"RTOMO",55,0
"JointModeling",33,0
"exactLoglinTest",44,0
"BGSIMD",36,0
"gsubfn",36,0
"spgwr",49,0
"SparseM",61,1
"EDR",51,0
"polspline",57,0
"portfolio",55,0
"randomForest",9,1
"gamlss.mx",19,0
"MCMChybridGP",6,0
"futile.logger",29,0
"grplasso",58,0
"SDaA",46,0
"JGR",65,0
"nFactors",11,0
"EquiNorm",29,0
"modTempEff",1,0
"foba",21,0
"SemiPar",65,0
"mapdata",59,0
"RXshrink",37,0
"CellularAutomaton",34,0
"smoothSurv",21,0
"CausalGAM",45,0
"lmomco",47,0
"tclust",46,0
"rjson",58,0
"Davies",63,0
"MCPAN",64,0
"qAnalyst",51,0
"stringr",28,0
"rcdklibs",5,1
"truncreg",4,0
"svWidgets",4,0
"hdeco",42,0
"symbols",55,0
"rvgtest",6,0
"Rlab",48,0
"ROracle",31,0
"magic",21,0
"OrdFacReg",6,0
"sn",36,0
"pvclass",44,0
"aroma.light",4,0
"entropy",34,0
"HH",25,0
"codep",49,0
"DRI",51,0
"phyloclim",40,0
"random",37,0
"DRI",57,0
"el.convex",55,0
"surveillance",9,0
"traitr",64,0
"fBasics",62,0
"write.snns",59,0
"TTR",26,0
"UScensus2000cdp",21,0
"eqtl",14,0
"interactivity",44,0
"sspir",25,0
"dcemriS4",55,0
"gnm",40,0
"dicionariosIBGE",31,0
"dse1",13,0
"blockrand",64,0
"adabag",61,0
"bear",30,0
"rgp",47,0
"trex",48,0
"optmatch",47,0
"fEcofin",45,0
"twiddler",1,0
"lawstat",55,1
"spcosa",35,0
"allan",11,0
"zipfR",62,0
"magma",46,0
"xlsReadWrite",33,0
"bvpSolve",3,0
"eiPack",46,0
"RBloomberg",3,0
"GDD",6,0
"jit",43,0
"OrdMonReg",35,0
"VecStatGraphs2D",36,0
"rtv",47,0
"OrdFacReg",65,0
"rgp",43,0
"lancet.iraqmortality",6,0
"ClinicalRobustPriors",42,0
"mvbutils",58,0
"fast",49,0
"gWidgets",7,0
"doSNOW",9,0
"gmodels",61,0
"tpsDesign",59,0
"intamap",4,0
"BSDA",62,0
"svIDE",42,0
"tensorA",42,0
"JM",11,0
"Deducer",3,0
"shapes",25,0
"bclust",64,0
"smd.and.more",34,0
"cramer",8,0
"tnet",55,0
"CHsharp",35,0
"RCurl",29,0
"coenoflex",25,0
"SIN",47,0
"fTrading",36,0
"farmR",4,0
"RSurvey",26,0
"etm",7,0
"randomForest",57,0
"RGtk2DfEdit",30,0
"FracSim",21,0
"audio",46,0
"sciplot",40,0
"PLIS",42,0
"ISA",23,0
"countrycode",63,0
"apcluster",30,0
"DAAG",46,0
"ecolMod",9,0
"fCalendar",31,1
"zoeppritz",30,0
"RPMG",35,0
"tileHMM",44,0
"VPdtw",29,0
"crantastic",43,0
"dglm",15,0
"IQCC",44,0
"doSNOW",36,0
"dynGraph",37,0
"heplots",35,0
"misc3d",15,0
"rioja",28,0
"steepness",43,0
"fuzzyFDR",40,0
"TRIANGG",64,0
"LLdecomp",35,0
"kinfit",47,0
"DAMisc",36,0
"base",34,1
"leiv",30,0
"cmm",58,0
"latticist",29,0
"WWGbook",34,0
"refund",35,0
"MIfuns",3,0
"MasterBayes",59,0
"lmec",8,0
"locpol",55,0
"favir",42,0
"nodeHarvest",63,0
"DAKS",5,1
"emdbook",61,0
"normalp",40,0
"hot",14,0
"aroma.cn",5,1
"MNP",61,0
"WGCNA",54,0
"VecStatGraphs2D",46,0
"mondate",27,0
"quantchem",1,0
"smoothSurv",34,0
"ssize.fdr",44,0
"RTisean",63,0
"RANN",46,0
"clusterCons",19,0
"synchronicity",58,0
"chemometrics",41,0
"Bolstad2",63,0
"BSagri",63,0
"AlgDesign",57,0
"fUtilities",43,1
"obsSens",46,0
"mcsm",61,0
"rrcov",29,0
"tframePlus",27,0
"exams",21,0
"FitARMA",58,0
"pmml",1,0
"slam",65,1
"apcluster",3,0
"hyperdirichlet",5,1
"lhs",26,0
"oce",58,0
"goalprog",9,0
"ROracleUI",59,0
"lawstat",37,0
"RWebMA",34,0
"sandwich",65,0
"ORIClust",50,0
"SASxport",26,0
"GOFSN",7,0
"GOFSN",40,0
"anm",35,0
"clustTool",56,0
"ctv",51,0
"SDDA",55,0
"mimR",56,0
"StatDataML",40,0
"LMGene",51,0
"GAMBoost",13,0
"CircSpatial",49,0
"pscl",11,0
"POT",8,0
"DAAG",26,1
"imprProbEst",56,0
"cellVolumeDist",63,0
"NetIndices",60,0
"CCA",46,0
"anacor",19,0
"AlgDesign",19,0
"ecolMod",19,0
"filehash",60,0
"trex",21,0
"MAc",44,0
"Multiclasstesting",65,0
"RcppArmadillo",64,0
"ccgarch",46,0
"list",56,0
"seas",9,0
"pmg",7,0
"tripack",29,1
"lmtest",45,0
"stratigraph",51,0
"Rigroup",64,0
"nodeHarvest",5,1
"pedigree",63,0
"apsrtable",34,0
"prabclus",48,0
"WhatIf",25,0
"COMPoissonReg",37,0
"prabclus",47,0
"hotspots",44,0
"fPortfolio",25,0
"pmg",28,0
"GAMBoost",5,1
"segclust",3,0
"spatcounts",33,0
"TeachingSampling",25,0
"reldist",59,0
"IniStatR",3,0
"dynamo",43,0
"rcdk",1,0
"BioStatR",5,1
"dtw",13,0
"gWidgets",54,1
"FactoClass",21,0
"dtw",59,0
"CoCoGraph",47,0
"emplik",47,0
"FAiR",21,0
"boolfun",15,0
"RLRsim",7,0
"bethel",23,0
"SDDA",35,1
"negenes",61,0
"QuantPsyc",47,0
"marg",37,0
"aroma.light",14,0
"Ratings",27,0
"chron",27,1
"svGUI",19,1
"dynCorr",51,0
"gputools",5,0
"nonparaeff",60,0
"Cprob",37,0
"ReacTran",64,0
"adimpro",11,0
"pmg",26,0
"micEconAids",7,0
"pwt",15,0
"rimage",50,0
"samplingbook",29,0
"signal",42,0
"tgp",59,0
"TRIANG",64,0
"mseq",54,0
"simba",40,0
"QT",8,0
"rrp",61,0
"MLDS",3,0
"ghyp",25,0
"cluster",49,1
"QTLNetworkR",64,0
"DCGL",61,0
"RaschSampler",48,0
"xterm256",49,0
"VHDClassification",49,0
"Runuran",15,0
"RFOC",35,0
"emplik",57,0
"RcmdrPlugin.MAd",13,0
"bitops",37,0
"km.ci",58,0
"someMTP",59,0
"tileHMM",29,0
"fractal",23,0
"missMDA",56,0
"phybase",58,0
"triads",3,0
"ZIGP",54,0
"RBerkeley",56,0
"LDtests",13,0
"filehash",50,0
"nutshell",64,1
"gplots",27,1
"glasso",28,0
"Matching",14,0
"twslm",63,0
"gamlss.mx",16,0
"glmmBUGS",35,0
"ramps",57,0
"nnc",42,0
"GLMMarp",14,0
"yhat",14,0
"BSagri",60,0
"ivivc",4,0
"MiscPsycho",37,0
"BsMD",57,0
"lmPerm",3,0
"doSNOW",23,0
"vrmlgen",11,0
"sp",5,1
"BCE",57,0
"distrMod",26,0
"jointDiag",27,0
"crawl",62,0
"chemometrics",3,0
"numDeriv",42,0
"RGtk2Extras",42,0
"GeneNet",28,0
"RTisean",11,0
"prim",51,0
"pARccs",56,0
"Runiversal",16,0
"Daim",14,0
"WhatIf",62,0
"SDaA",48,0
"ROptRegTS",58,0
"gmodels",62,0
"PBSddesolve",1,0
"fNonlinear",16,0
"RMC",25,0
"muS2RC",44,0
"coxphw",49,0
"sparkTable",3,0
"rwt",58,0
"foba",51,0
"stoichcalc",19,0
"hergm",56,0
"nacopula",58,0
"partitionMetric",61,0
"sandwich",48,1
"rimage",29,0
"wgaim",29,0
"deldir",16,1
"ibr",6,0
"mpt",9,0
"truncgof",9,0
"wccsom",33,0
"automap",65,0
"survivalROC",54,0
"halp",25,0
"random",15,0
"DTK",62,0
"hypergeo",48,0
"corrsieve",21,0
"rconifers",16,0
"clusterfly",35,0
"arules",9,1
"spatstat",60,0
"Geneclust",8,0
"minxent",34,0
"webvis",47,0
"reweight",41,0
"seacarb",46,0
"x12",13,0
"fpow",23,0
"ares",4,0
"NetCluster",37,0
"SEL",44,0
"AnalyzeFMRI",8,0
"SII",47,0
"exactRankTests",34,0
"SciViews",28,0
"cmprsk",43,0
"isdals",7,0
"speff2trial",48,0
"GEOmap",44,0
"EMJumpDiffusion",31,0
"codep",14,0
"QCAGUI",29,0
"cramer",50,0
"snowfall",13,0
"asd",34,0
"pyramid",62,0
"clv",58,0
"oro.nifti",45,0
"kmi",65,0
"miscTools",63,0
"formula.tools",13,0
"EquiNorm",48,0
"orthogonalsplinebasis",50,0
"grpreg",15,0
"gamlss.util",4,0
"degreenet",13,0
"interval",41,0
"gllm",7,0
"bootstrap",40,0
"QT",7,0
"QCA",4,0
"sparkTable",58,0
"relimp",11,0
"Deducer",15,1
"svUnit",7,0
"nws",65,0
"svSweave",60,0
"knncat",15,0
"catnet",25,0
"lpSolveAPI",40,0
"JJcorr",8,0
"rTOFsPRO",56,0
"ripa",9,0
"hbim",60,0
"ROracle",1,0
"SeqKnn",41,0
"vowels",51,0
"geoRglm",57,0
"TTR",1,0
"sde",5,1
"waterfall",7,0
"DescribeDisplay",36,0
"rTOFsPRO",45,0
"rPorta",33,0
"CircNNTSR",36,0
"fpow",65,0
"tseriesChaos",1,0
"mclust",26,1
"topicmodels",40,0
"FunNet",63,0
"inline",58,0
"saws",65,0
"phull",55,0
"ks",51,0
"VhayuR",40,0
"cggd",21,0
"DeducerExtras",36,0
"openNLPmodels.en",26,0
"plsdof",48,0
"gWidgetsRGtk2",59,0
"homtest",5,1
"gRapHD",65,0
"filehash",57,0
"rateratio.test",62,0
"SDMTools",25,0
"deldir",31,1
"multicore",37,0
"mhsmm",56,0
"mlogit",48,0
"CTT",40,0
"DRI",33,0
"lazy",9,0
"FGN",59,0
"RSEIS",6,0
"psychotree",1,0
"GillespieSSA",60,0
"HTMLUtils",8,0
"relax",5,1
"WilcoxCV",5,1
"MixSim",25,0
"Rcmdr",8,0
"compute.es",47,0
"scaleboot",23,0
"emu",59,0
"PermuteNGS",56,0
"caroline",14,0
"termstrc",30,0
"HDMD",3,0
"dse",59,0
"LearnEDA",27,0
"simexaft",55,0
"modeest",48,0
"RBloomberg",1,0
"edci",58,0
"svGUI",35,0
"cacher",7,0
"robCompositions",55,0
"r4ss",42,0
"QCA3",28,0
"PBSmapping",54,0
"YieldCurve",63,0
"RSeqMeth",30,0
"kinship",19,1
"PtProcess",46,0
"pvclust",7,0
"SpatialEpi",65,0
"cem",30,0
"parcor",34,0
"VarianceGamma",42,0
"diseasemapping",46,0
"mrdrc",8,0
"ecoreg",15,0
"intamapInteractive",62,0
"fTrading",63,0
"partDSA",25,0
"irtoys",15,0
"aod",7,0
"trip",23,0
"mirf",48,0
"compHclust",59,0
"spatial",37,1
"itertools",36,0
"biglars",21,0
"agilp",65,0
"rioja",51,0
"ouch",48,0
"dcemri",59,0
"UScensus2000",43,0
"vcdExtra",31,0
"RANN",49,0
"plyr",43,1
"rpart",45,1
"profileModel",15,0
"hyperdirichlet",3,0
"JOP",59,0
"SoDA",50,0
"nlrwr",45,0
"cba",63,0
"snowFT",27,0
"EMCC",48,0
"TSodbc",46,0
"km.ci",21,0
"phull",57,0
"frbf",51,0
"profileModel",48,0
"sparr",1,0
"cshapes",29,0
"lancet.iraqmortality",63,0
"cxxPack",14,0
"blockrand",11,0
"laeken",40,0
"ecodist",51,0
"LiblineaR",31,0
"svDialogs",51,0
"oblique.tree",50,0
"splus2R",13,0
"plsgenomics",14,0
"pwr",7,0
"moduleColor",3,0
"AIGIS",48,0
"DOSim",55,0
"CoCoGraph",50,0
"mblm",31,0
"ncdf4",35,0
"RMTstat",34,0
"peperr",6,0
"dummies",27,0
"CVThresh",46,0
"mixOmics",34,0
"brainwaver",28,0
"flexmix",29,0
"lga",60,0
"PtProcess",19,0
"ConvergenceConcepts",15,0
"divagis",5,1
"fda",29,0
"corpora",45,0
"dagR",15,0
"fPortfolio",57,0
"blockrand",51,0
"openNLPmodels.en",44,0
"MCMChybridGP",40,0
"monreg",5,1
"lago",40,0
"missMDA",21,0
"sendmailR",57,0
"bisoreg",56,0
"gamlss",16,0
"ProDenICA",58,0
"AGSDest",42,0
"sp",49,1
"blockmodeling",59,0
"far",8,0
"LogicForest",48,0
"diamonds",41,0
"gpclib",34,1
"foreach",5,1
"gogarch",7,0
"ldDesign",5,1
"gmp",7,0
"penalized",46,0
"nppbib",45,0
"multmod",65,0
"LLAhclust",11,0
"digitize",64,0
"LDtests",26,0
"scuba",57,0
"foba",54,0
"traitr",57,0
"mmcm",49,0
"genalg",35,0
"sdtoolkit",9,0
"bayesGARCH",62,0
"powell",5,1
"rocc",8,0
"fOptions",43,0
"coda",64,0
"nlme",7,1
"muS2RC",14,0
"cubature",62,0
"denstrip",27,0
"Geneland",19,0
"gtools",33,0
"spe",64,0
"sampling",50,0
"hyperSpec",26,0
"sBF",19,0
"gamlss.demo",31,0
"QuantPsyc",6,0
"AdaptFit",33,0
"pheno",44,0
"CDFt",47,0
"cmm",4,0
"ppls",15,0
"snowFT",30,0
"xlsx",13,0
"spam",64,0
"edci",37,0
"sn",60,0
"mitools",23,1
"BayesQTLBIC",28,0
"sendplot",28,0
"bspec",49,0
"sspline",6,0
"monoProc",26,0
"orientlib",47,0
"textcat",51,0
"gamlss.nl",29,0
"EMC",28,0
"networksis",51,0
"gdata",59,0
"fExoticOptions",58,0
"distrTeach",65,0
"TSA",21,0
"chron",29,1
"pixmap",64,0
"localdepth",47,0
"sbgcop",61,0
"zoeppritz",14,0
"SDMTools",49,0
"atmi",28,0
"doRedis",3,0
"HAPim",44,0
"remMap",55,0
"adegenet",58,0
"gamlss.nl",1,0
"optimx",8,0
"MAMA",56,0
"distrMod",35,0
"CCP",49,0
"psgp",29,0
"adegenet",6,0
"demography",36,0
"gclus",28,0
"hapassoc",30,0
"corrplot",27,0
"SEMModComp",60,0
"trust",41,0
"boolfun",64,0
"proftools",54,0
"locfit",8,0
"DCluster",8,0
"Rsundials",57,0
"TTR",65,0
"FAMT",11,0
"CircSpatial",6,0
"sampleSelection",48,0
"pheno",57,0
"LogicForest",21,0
"negenes",40,0
"cshapes",34,0
"GEVcdn",65,0
"tripack",33,0
"spam",16,1
"base",50,1
"GillespieSSA",61,0
"RSeqMeth",62,0
"DoE.base",27,0
"ifs",33,0
"VHDClassification",1,0
"JJcorr",33,0
"bnlearn",27,0
"PCS",37,0
"RSearchYJ",11,0
"caroline",4,0
"nor1mix",34,0
"PET",41,0
"st",16,0
"pack",40,0
"glmmML",37,0
"waveband",16,0
"vrmlgen",35,0
"ADaCGH",41,0
"aod",34,0
"Mcomp",23,0
"splancs",36,0
"ISOcodes",46,0
"RandVar",1,0
"hacks",62,0
"gbm",31,1
"genefu",5,1
"pscl",64,0
"OjaNP",3,0
"fgac",19,0
"rqmcmb2",57,0
"HyperbolicDist",35,0
"ineq",29,1
"fbati",21,0
"ringscale",11,0
"RGraphics",5,1
"Rcgmin",6,0
"monoProc",40,0
"cluster",25,1
"dicionariosIBGE",29,0
"rpart",5,1
"rgl",26,1
"mmcm",19,0
"mvsf",49,0
"signalextraction",14,0
"TSMySQL",5,1
"kst",64,0
"qlspack",33,0
"DiceKriging",51,0
"futile.paradigm",47,0
"mapproj",54,1
"FKF",55,0
"mondate",37,0
"gpls",6,0
"hda",46,0
"urn",62,0
"SDisc",13,0
"BayesQTLBIC",64,0
"DoE.base",65,0
"clusterGeneration",48,0
"MADAM",13,0
"nor1mix",35,0
"portfolio",1,0
"ipred",4,1
"SampleSizeProportions",65,0
"MLEcens",51,0
"arrayMissPattern",54,0
"missMDA",9,1
"tkrplot",33,0
"uniCox",33,0
"IFP",3,0
"fOptions",65,0
"km.ci",55,0
"SwissAir",59,0
"SweaveListingUtils",26,0
"xterm256",9,0
"monoProc",14,0
"crawl",21,0
"qp",43,0
"predbayescor",50,0
"ordinal",37,0
"boot",25,1
"rPorta",49,0
"pan",19,0
"bipartite",62,0
"bayesclust",6,0
"climatol",11,0
"nnc",29,0
"Depela",46,0
"powerSurvEpi",27,0
"VIM",23,1
"itertools",55,0
"itertools",57,1
"faraway",40,0
"flexmix",44,1
"sddpack",35,0
"USPS",37,0
"GeneCycle",55,0
"spam",42,0
"LDtests",34,0
"ProjectTemplate",64,0
"CircStats",8,0
"muhaz",46,0
"ggplot2",30,1
"samr",5,1
"archetypes",8,0
"gmm",9,0
"titan",8,0
"rangeMapper",43,0
"MBESS",13,0
"pgfSweave",30,0
"cyclones",40,0
"optmatch",44,0
"BioPhysConnectoR",34,0
"cmprsk",11,0
"identity",1,0
"RWeka",16,0
"spgwr",35,0
"ref",50,0
"extremevalues",15,0
"genalg",48,0
"difR",4,0
"elrm",4,0
"cairoDevice",56,0
"FTICRMS",5,1
"nparcomp",33,0
"CDFt",55,0
"tframe",14,0
"amba",35,0
"selectiongain",42,0
"ptinpoly",41,0
"caGUI",65,0
"ncomplete",8,0
"norm",40,0
"waveslim",65,0
"ellipse",29,0
"dyn",7,0
"bild",48,0
"leiv",47,0
"EVER",15,0
"graph",34,0
"ivivc",40,0
"rgdal",29,0
"RcmdrPlugin.SLC",8,0
"Formula",9,1
"smacof",28,0
"anm",21,0
"pARccs",31,0
"tlemix",9,0
"psychotree",31,0
"qp",59,0
"aCGH.Spline",7,0
"HistData",40,0
"geepack",1,0
"SpherWave",44,0
"RcppExamples",3,0
"orthogonalsplinebasis",42,0
"sisus",23,0
"cacheSweave",36,0
"ncomplete",49,0
"RcmdrPlugin.qcc",1,0
"oc",63,0
"corrgram",33,0
"strucchange",42,1
"mvpart",15,0
"snowFT",25,0
"VizCompX",34,0
"pmg",3,0
"Haplin",59,0
"schoolmath",42,0
"sudoku",62,0
"zyp",57,0
"interval",1,0
"MVpower",47,0
"tsModel",25,0
"normwhn.test",30,0
"quadprog",46,0
"GGMselect",49,0
"EquiNorm",19,0
"ORMDR",6,0
"fExoticOptions",29,0
"medAdherence",13,0
"graph",25,0
"DAKS",36,0
"hbmem",34,0
"chplot",31,0
"TSA",62,0
"RankAggreg",58,0
"eco",15,0
"eqtl",51,0
"Guerry",59,0
"remMap",31,0
"time",36,0
"longmemo",60,0
"AnalyzeFMRI",37,0
"Pomic",29,0
"codep",15,0
"BTSPAS",49,0
"BHH2",4,0
"RSiteSearch",54,0
"HapEstXXR",35,0
"maxstat",63,0
"permtest",33,0
"adehabitat",51,0
"MAclinical",19,0
"aroma.light",50,0
"tkrplot",31,0
"gamlss.util",48,0
"logistf",8,0
"distory",60,0
"exactLoglinTest",25,0
"distrEx",9,1
"clustTool",45,0
"geoR",15,0
"prettyR",5,1
"SMPracticals",46,0
"financial",15,0
"Devore6",45,0
"lpridge",61,0
"xtable",51,0
"stream.net",64,0
"CCMtools",8,0
"RcmdrPlugin.sos",40,0
"lubridate",59,0
"vmv",65,0
"VarianceGamma",25,0
"sna",30,0
"decon",42,0
"RobAStBase",36,0
"iplots",49,0
"COP",58,0
"locfit",1,0
"NISTnls",35,0
"Bergm",4,0
"hts",47,0
"stepPlr",64,0
"aroma.core",59,0
"heplots",40,0
"MAd",36,0
"extremevalues",29,0
"RobLoxBioC",48,0
"asbio",16,0
"bfast",58,0
"BSagri",27,0
"qrnn",28,0
"tnet",46,0
"kzft",55,0
"corpcor",36,0
"inlinedocs",16,0
"mcmcplots",61,0
"simecol",28,0
"SiZer",62,0
"Rlab",8,0
"GDD",11,0
"DTK",27,0
"oro.nifti",25,0
"chemCal",63,0
"allan",3,0
"SASxport",6,0
"nFDR",44,0
"backfitRichards",19,0
"SGCS",65,0
"RANN",58,0
"profileModel",31,0
"TSdbi",33,0
"svSweave",59,0
