"Package","Topic"
"distrTeach",21
"distrTEst",4
"diveMove",8
"DiversitySampler",3
"dlm",16
"dlmap",22
"dlnm",1
"DoE.base",5
"DoE.wrapper",5
"doMPI",15
"doRedis",13
"DoseFinding",11
"DOSim",25
"dplR",8
"dpmixsim",7
"dr",11
"drc",11
"DRI",24
"drm",3
"dse",8
"DSpat",4
"dti",2
"DTK",19
"dtw",11
"dummies",8
"dvfBm",25
"dyad",4
"dyn",1
"dynamicGraph",9
"dynamicTreeCut",5
"dynamo",24
"dynaTree",21
"dynCorr",11
"e1071",10
"earth",1
"eba",17
"EbayesThresh",25
"ebdbNet",24
"Ecdat",1
"eco",3
"ecodist",12
"ecolMod",16
"ecoreg",3
"edci",21
"EDR",12
"edrGraphicalTools",11
"edtdbg",8
"EffectiveDose",11
"effects",1
"egonet",25
"eigenmodel",16
"eiPack",3
"el.convex",3
"elasticnet",24
"elec",1
"ElectroGraph",13
"ElemStatLearn",23
"ellipse",11
"elliptic",7
"elrm",11
"EMC",25
"EMCC",25
"EMD",20
"emdbook",10
"EMJumpDiffusion",3
"emme2",18
"emoa",13
"emplik2",3
"emplik",3
"EMT",19
"emu",11
"emulator",15
"endogMNP",3
"energy",25
"EngrExpt",23
"EnQuireR",20
"ensembleBMA",1
"entropy",22
"envelope",19
"Epi",23
"epibasix",3
"epicalc",16
"epinet",13
"epiR",3
"epitools",15
"EQL",11
"eqtl",17
"equate",9
"EquiNorm",24
"equivalence",3
"ergm",7
"esd4all",16
"estout",6
"ETC",3
"etm",3
"EvalEst",8
"evd",9
"evdbayes",9
"EVER",22
"evir",19
"exact2x2",3
"exactci",3
"exactLoglinTest",10
"exactmaxsel",17
"exactRankTests",3
"exams",8
"expectreg",11
"experiment",3
"expm",2
"expsmooth",23
"extracat",1
"extRemes",19
"extremevalues",10
"ez",6
"Fahrmeir",23
"FAiR",2
"fame",21
"FAMT",24
"far",17
"faraway",23
"fArma",11
"farmR",7
"fAsianOptions",2
"fAssets",21
"fast",6
"fastICA",10
"favir",20
"fBasics",21
"fbati",22
"FBN",19
"fCalendar",15
"fCertificates",23
"fCopulae",21
"fda",6
"fdrtool",24
"fds",24
"fdth",21
"feature",19
"fechner",12
"fEcofin",24
"FEST",22
"fExoticOptions",23
"fExtremes",19
"fgac",9
"fGarch",11
"FGN",24
"fgui",13
"fields",16
"FieldSim",14
"filehash",8
"fImport",8
"financial",15
"fingerprint",15
"FinTS",1
"fisheyeR",5
"fishmethods",19
"FitAR",17
"FitARMA",24
"fitdistrplus",7
"FITSio",15
"FKF",25
"flexclust",24
"flexCrossHaz",3
"flexmix",24
"flubase",16
"Flury",23
"fma",23
"FME",21
"fmri",5
"fmsb",3
"fMultivar",21
"FNN",24
"fNonlinear",7
"foba",24
"fOptions",13
"foreach",8
"forecast",11
"foreign",8
"forensic",19
"forensim",19
"fork",8
"formula.tools",8
"Formula",1
"forward",23
"fossil",16
"fpc",5
"fpca",11
"fPortfolio",21
"fracdiff",7
"fractal",25
"fractalrock",24
"frailtypack",3
"FRB",11
"frbf",24
"fRegression",1
"freqMAP",22
"FrF2",5
"frontier",8
"FSelector",17
"fSeries",15
"fso",12
"FTICRMS",13
"ftnonpar",20
"fTrading",15
"fts",16
"ftsa",7
"FunCluster",24
"FunctSNP",22
"fUnitRoots",7
"FunNet",24
"futile.any",16
"futile.logger",8
"futile.matrix",8
"futile.paradigm",8
"fUtilities",21
"fuzzyRankTests",3
"fwdmsa",21
"G1DBN",12
"gafit",11
"gam",11
"gamair",16
"GAMBoost",11
"GAMens",7
"gamesNws",20
"gamlss.add",11
"gamlss.cens",2
"gamlss.data",23
"gamlss.demo",2
"gamlss.dist",2
"gamlss.mx",1
"gamlss.nl",11
"gamlss.tr",2
"gamlss.util",11
"gamlss",11
"gamm4",11
"gap",22
"gausspred",24
"gbev",11
"gbm",17
"gbs",19
"gcExplorer",6
"gclus",21
"gcolor",13
"gdata",8
"geiger",24
"GenABEL",22
"genalg",11
"gene2pathway",25
"geneARMA",24
"Geneclust",13
"GeneCycle",24
"GeneF",3
"genefu",17
"Geneland",13
"geneListPie",19
"GeneNet",24
"GeneReg",24
"genetics",22
"GenKern",13
"genomatic",20
"genoPlotR",22
"geofd",6
"GEOmap",16
"geometry",25
"geonames",16
"geophys",20
"geosphere",16
"geozoo",16
"getopt",8
"GEVcdn",11
"GExMap",19
"GGally",16
"ggm",25
"GGMselect",25
"ggplot2",16
"ghyp",11
"gibbs.met",3
"GillespieSSA",17
"giRaph",9
"glasso",11
"gld",11
"GLDEX",11
"gllm",1
"glmmAK",10
"GLMMarp",11
"glmmBUGS",6
"glmnet",17
"glmpath",17
"glmperm",1
"glmulti",4
"glpk",13
"gmm",11
"gmodels",3
"gmp",15
"gmvalid",19
"gnm",1
"gnumeric",5
"goalprog",6
"gof",3
"GOFSN",19
"gogarch",21
"GOSim",25
"gpclib",4
"gplots",21
"gpls",11
"GPseq",19
"gputools",11
"grade",2
"granova",3
"graph",9
"gRapHD",12
"graphicsQC",5
"GRASS",16
"GrassmannOptim",11
"gridExtra",20
"GridR",8
"grImport",5
"grofit",11
"grouped",3
"grplasso",11
"grpreg",11
"GRRGI",11
"grt",12
"GSA",24
"gsarima",24
"gsDesign",25
"gsl",7
"GSM",12
"gss",11
"gstat",6
"gsubfn",8
"gtools",8
"gumbel",25
"gvlma",17
"GWAF",22
"gWidgets",13
"gWidgetsRGtk2",13
"gWidgetsrJava",13
"gWidgetstcltk",13
"gWidgetsWWW",13
"GWRM",10
"haarfisz",2
"hacks",21
"HadoopStreaming",8
"halp",8
"hapassoc",24
"HapEstXXR",22
"HAPim",10
"Haplin",22
"haplo.ccs",22
"haplo.stats",22
"HaploSim",22
"hapsim",22
"HardyWeinberg",19
"hash",8
"hbim",5
"hbmem",9
"hda",24
"HDclassif",19
"hddplot",22
"HDMD",15
"hdrcde",11
"heavy",4
"heplots",23
"hergm",19
"hett",3
"hexbin",21
"hexView",2
"HFWutils",15
"hglm",11
"HGLMMM",3
"HH",6
"HI",16
"HiddenMarkov",9
"hier.part",11
"hierfstat",19
"highlight",20
"hmm.discnp",9
"HMM",9
"HMR",11
"homals",24
"homtest",25
"hopach",9
"hotspots",19
"howmany",22
"HSAUR2",23
"HSAUR",23
"hsmm",9
"HTMLUtils",20
"hts",24
"httpRequest",8
"hwde",6
"HWEBayes",15
"HWEintrinsic",19
"hwriter",8
"hybridHclust",16
"hydrogeo",21
"HydroMe",15
"hydrosanity",21
"hyperdirichlet",7
"hypergeo",7
"hyperSpec",9
"ibdreg",22
"ibr",17
"IBrokers",5
"ic.infer",5
"ic50",15
"ICE",3
"ICEinfer",22
"Icens",20
"IDPmisc",21
"IFP",22
"ifs",25
"ifultools",22
"iGenomicViewer",8
"igraph",9
"iid.test",6
"Imap",16
"imprProbEst",13
"impute",24
"ineq",17
"influence.ME",1
"infotheo",22
"inline",8
"inlinedocs",8
"intamap",2
"intamapInteractive",22
"intcox",3
"integrativeME",24
"interval",3
"intervals",9
"introgress",19
"iplots",21
"ipred",10
"IQCC",6
"irr",20
"irtoys",6
"irtProb",3
"isa2",9
"isdals",23
"ismev",11
"Iso",11
"ISOcodes",5
"IsoGene",19
"isopam",12
"isotone",6
"isva",22
"ISwR",23
"iterators",8
"itertools",5
"its",15
"ivivc",24
"JADE",20
"jit",2
"JJcorr",9
"JM",3
"jointDiag",20
"JointModeling",11
"JOP",19
"JudgeIt",22
"Kendall",24
"kernelPop",13
"KernSmooth",11
"KFAS",11
"kin.cohort",3
"kinship",10
"kknn",24
"klin",13
"km.ci",3
"kmi",3
"kml3d",4
"KMsurv",23
"knncat",10
"knnflex",24
"kohonen",5
"ks",12
"kst",25
"kza",20
"kzft",20
"kzs",19
"labdsv",12
"labeltodendro",21
"labstatR",20
"laeken",10
"lago",24
"LambertW",25
"languageR",23
"lars",24
"laser",24
"lasso2",4
"latentnet",1
"lattice",21
"latticedl",16
"latticeExtra",21
"latticist",21
"lavaan",1
"lawstat",19
"lazy",1
"lcd",25
"lcda",1
"lcmm",1
"lda",1
"ldbounds",25
"ldDesign",19
"LDdiag",1
"LDheatmap",21
"LDtests",19
"leaps",10
"LearnBayes",3
"LearnEDA",23
"leiv",21
"lemma",24
"lga",19
"lgtdl",4
"lhs",5
"LiblineaR",11
"LIM",5
"limSolve",5
"linprog",15
"list",3
"ljr",3
"lme4",4
"lmec",24
"lmeSplines",11
"LMGene",19
"lmm",3
"lmodel2",3
"lmom",7
"lmomco",7
"Lmoments",7
"lmomRFA",7
"lmPerm",12
"localdepth",16
"locfit",11
"locpol",11
"lodplot",21
"LogConcDEAD",21
"logcondens",24
"logging",16
"LogicForest",17
"LogicReg",17
"logistf",11
"LogitNet",16
"logregperm",3
"logspline",17
"lokern",12
"longitudinal",24
"longRPart",17
"LoopAnalyst",19
"lordif",10
"lossDev",8
"lpc",24
"lpSolve",21
"lpSolveAPI",21
"lqa",11
"LS2W",2
"lsa",25
"ltm",4
"ltsa",24
"lubridate",15
"luca",19
"maanova",20
"MAc",5
"MAclinical",6
"MAd",5
"MADAM",24
"magic",7
"magma",15
"magnets",12
"MAMA",24
"MAMSE",3
"mapdata",16
"mapproj",16
"maps",16
"maptree",16
"mar1s",16
"mAr",24
"marelacTeaching",16
"marg",1
"marginalmodelplots",11
"marginTree",24
"MarkedPointProcess",12
"MARSS",9
"MASS",1
"MasterBayes",17
"Matching",3
"MatchIt",6
"mathgraph",7
"maticce",9
"matlab",20
"Matrix",2
"matrixcalc",7
"MatrixModels",2
"matrixStats",8
"maxLik",11
"maxstat",24
"MBA",16
"MBESS",3
"mblm",11
"mbmdr",1
"mboost",1
"mc2d",22
"mcclust",25
"MCE",24
"mcgibbsit",13
"MChtest",3
"mclogit",1
"mclust",10
"mcmc",3
"MCMCglmm",17
"MCMChybridGP",25
"MCMCpack",12
"mcmcplots",21
"mco",13
"Mcomp",24
"MCPAN",10
"MCPMod",11
"mcsm",3
"mda",10
"meboot",1
"medAdherence",16
"mediation",3
"mefa",17
"memisc",10
"MEMSS",23
"merror",3
"meta",3
"MetabolAnalyze",12
"Metabonomic",16
"metafor",6
"metaMA",24
"MFDA",10
"MFDF",23
"mFilter",25
"mfp",3
"mgcv",11
"mhurdle",4
"mi",13
"mice",4
"micEconAids",4
"micEconCES",11
"micEconSNQP",4
"MIfuns",6
"minet",24
"miniGUI",1
"minpack.lm",11
"minqa",11
"mirf",22
"misc3d",21
"MiscPsycho",10
"miscTools",10
"mitools",22
"mix",3
"mixAK",10
"mixdist",10
"mixer",13
"mixfdr",19
"mixlow",6
"mixPHM",10
"mixRasch",10
"mixreg",10
"MixSim",20
"mixstock",10
"mixtools",10
"MKLE",12
"MKmisc",21
"mlbench",6
"MLCM",10
"MLDA",15
"MLDS",19
"MLEcens",21
"mlegp",11
"mlmmm",3
"mlogit",1
"mlogitBMA",1
"mmap",15
"mmcm",24
"MMG",17
"MMIX",17
"MMST",23
"mnormt",3
"MNP",1
"moc",21
"MOCCA",13
"modeest",12
"ModelGood",17
"ModelMap",17
"modeltools",4
"modTempEff",11
"moduleColor",5
"mokken",4
"mombf",19
"moments",7
"mondate",10
"monmlp",16
"monomvn",21
"monoProc",11
"moonsun",24
"MortalitySmooth",11
"MplusAutomation",22
"mpm",24
"mprobit",24
"mpt",17
"MPV",23
"mra",17
"mratios",3
"mrdrc",11
"mritc",20
"mrt",23
"MSBVAR",17
"mseq",6
"msm",3
"mspath",9
"msProcess",22
"mstate",3
"MSToolkit",22
"MTSKNN",19
"mugnet",7
"muhaz",11
"multcomp",3
"MultEq",3
"multic",5
"Multiclasstesting",24
"multicore",8
"multilevel",16
"multinomRob",3
"multipol",7
"multisensi",10
"multitaper",19
"multtest",19
"MuMIn",17
"munfold",21
"munsell",21
"muRL",8
"muS2RC",8
"muscor",24
"mutoss",3
"mvabund",21
"mvbutils",8
"mvna",3
"mvngGrAd",4
"mvnmle",10
"mvpart",17
"MVpower",3
"mvtBinaryEP",24
"mvtnorm",3
"nacopula",9
"NADA",8
"nanop",7
"NCBI2R",5
"ncdf4",22
"ncdf",22
"ncf",13
"ncomplete",19
"ncvreg",11
"NeatMap",12
"negenes",1
"neldermead",13
"NestedCohort",22
"NetCluster",13
"NetIndices",5
"network",7
"networksis",7
"neuralnet",24
"nFactors",25
"nga",25
"NISTnls",22
"nlADG",11
"nleqslv",2
"nlme",4
"nlmeODE",13
"nlreg",11
"nlrwr",23
"nls2",11
"nlstools",24
"nlt",12
"nltm",3
"NMF",10
"NMFN",16
"NMMAPSlite",20
"NMRS",16
"nnc",24
"nnclust",25
"nnDiag",24
"nnet",1
"nnls",11
"nodeHarvest",6
"noia",22
"nonbinROC",23
"nonparaeff",4
"nonrandom",3
"norm",3
"normalp",7
"NORMT3",11
"nortest",19
"noverlap",19
"np",12
"nparcomp",3
"nparLD",3
"nplplot",6
"npmc",3
"npmlreg",1
"npRmpi",12
"NRAIA",23
"nsRFA",25
"numDeriv",11
"nutshell",23
"nws",2
"OAIHarvester",8
"oblique.tree",17
"obsSens",3
"oc",4
"oce",7
"odesolve",21
"odfWeave",20
"ofp",8
"Oncotree",12
"onemap",17
"onion",15
"OPE",21
"openintro",23
"operator.tools",8
"operators",8
"optBiomarker",24
"optimbase",13
"optimsimplex",13
"optimx",11
"optmatch",1
"optparse",8
"optpart",12
"orderbook",4
"OrdFacReg",24
"ordinal",11
"OrdMonReg",25
"ORIClust",24
"orientlib",5
"orloca.es",1
"orloca",1
"oro.dicom",5
"oro.nifti",5
"orth",10
"orthogonalsplinebasis",7
"orthopolynom",7
"ouch",17
"outliers",19
"p3state.msm",3
"pack",8
"packdep",8
"packS4",22
"PairViz",20
"pairwiseCI",3
"paleoMAS",24
"paleoTS",3
"paltran",24
"pamm",3
"pamr",24
"pan",3
"paran",25
"pARccs",22
"parcor",24
"parser",8
"partDSA",19
"partitions",7
"party",4
"PASWR",23
"pathmox",10
"pbatR",15
"PBSadmb",8
"PBSddesolve",21
"PBSmapping",6
"PBSmodelling",20
"pcalg",25
"pcaPP",10
"PCIT",24
"PCS",19
"pcse",1
"pcurve",11
"pear",24
"PearsonDS",7
"PearsonICA",24
"pec",17
"pedantics",22
"pedigree",22
"pedigreemm",23
"pegas",19
"penalized",17
"penalizedSVM",17
"pendensity",11
"peperr",17
"PerformanceAnalytics",21
"perm",3
"permax",13
"permtest",19
"perturb",1
"PET",2
"pga",24
"pgam",1
"pgfSweave",8
"pgirmess",22
"pglm",1
"phangorn",8
"pheno",24
"phitest",3
"phmm",3
"PhViD",1
"phybase",17
"phyclust",8
"phylobase",8
"phyloclim",24
"PHYLOGR",24
"picante",24
"pixmap",2
"PK",11
"PKfit",24
"PKtools",1
"plan",5
"playwith",21
"plgp",6
"plink",4
"PLIS",15
"plm",1
"plotpc",21
"plotrix",21
"plotSEMM",22
"plRasch",24
"plsdof",24
"plsgenomics",17
"plspm",10
"plus",11
"plyr",20
"PMA",24
"pmg",13
"pmlr",3
"pmml",13
"poistweedie",19
"poLCA",1
"polspline",17
"polyapost",3
"polycor",10
"polydect",24
"polynom",7
"PolynomF",7
"polysat",5
"polySegratio",22
"polySegratioMM",22
"Pomic",24
"pomp",17
"popbio",20
"popPK",5
"portfolio",4
"portfolioSim",4
"POT",9
"potts",9
"powerMediation",25
"powerSurvEpi",3
"PowerTOST",3
"ppls",11
"ppMeasures",24
"pps",22
"prabclus",9
"predbayescor",24
"PredictiveRegression",25
"predmixcor",3
"prefmod",4
"prettyR",20
"prim",12
"primer",23
"prob",1
"ProbForecastGOP",16
"pROC",22
"ProDenICA",11
"prodlim",3
"profdpm",10
"ProfessR",20
"profileModel",11
"proftools",5
"PropCIs",3
"proptest",3
"proto",8
"proxy",8
"PSAgraphics",22
"pscl",12
"pseudo",3
"psgp",2
"pspline",11
"psy",20
"psych",25
"psychometric",6
"psyphy",11
"PTAk",19
"ptinpoly",13
"PtProcess",11
"ptw",15
"pvclass",19
"pvclust",10
"pwr",3
"PwrGSD",25
"pwt",23
"pyramid",20
"qAnalyst",10
"QCA3",20
"QCA",19
"QCAGUI",1
"qcc",19
"qlspack",3
"QRMlib",11
"qrnn",16
"QT",16
"qtl",17
"qtlbim",17
"qtlbook",17
"QuACN",11
"quadprog",11
"qualityTools",4
"quantchem",11
"quantmod",15
"QuantPsyc",6
"quantreg",10
"quaternions",15
"qvalue",22
"qvcalc",1
"R.cache",8
"R.filesets",8
"R.huge",8
"R.matlab",8
"R.methodsS3",8
"R.oo",8
"R.rsp",8
"R.utils",8
"r2dRue",7
"R2HTML",20
"R2jags",13
"r2lh",4
"R2PPT",18
"R2wd",15
"R2WinBUGS",13
"R4dfp",6
"r4ss",20
"race",1
"rainbow",7
"rake",15
"ramps",4
"RandForestGUI",13
"random.polychor.pa",25
"RandomFields",12
"randomForest",17
"randomLCA",5
"randomSurvivalForest",17
"randtoolbox",19
"RandVar",9
"rangeMapper",8
"RankAggreg",13
"RaschSampler",17
"Rassoc",19
"raster",2
"Ratings",25
"rattle",10
"rAverage",2
"rbenchmark",8
"RBerkeley",2
"RBGL",25
"RBloomberg",13
"rbounds",3
"rbugs",13
"RC",8
"Rcapture",3
"rcdd",9
"rcdk",15
"Rcgmin",13
"Rcmdr",1
"RcmdrPlugin.DoE",5
"RcmdrPlugin.Export",8
"RcmdrPlugin.HH",6
"RcmdrPlugin.IPSUR",20
"RcmdrPlugin.MAc",5
"RcmdrPlugin.MAd",5
"RcmdrPlugin.survival",1
"RcmdrPlugin.TextMining",8
"rcom",8
"rconifers",4
"Rcplex",13
"Rcpp",8
"RcppArmadillo",8
"RcppExamples",7
"Rcsdp",10
"RCurl",8
"rda",24
"rdetools",6
"RDS",19
"Rdsm",8
"ReacTran",16
"Read.isi",8
"ReadImages",16
"realized",16
"recommenderlab",4
"REEMtree",3
"refund",6
"registry",8
"regress",3
"regsubseq",19
"rela",25
"relaimpo",10
"relations",7
"RelativeRisk",3
"relax",8
"relaxo",24
"reldist",16
"Reliability",14
"relimp",5
"relsurv",3
"remix",10
"rEMM",8
"remMap",15
"Renext",3
"repolr",3
"reporttools",20
"REQS",20
"ResearchMethods",6
"reshape",16
"ResistorArray",16
"reweight",3
"RExcelInstaller",8
"RFA",7
"RFLPtools",6
"RFOC",20
"RFreak",13
"rgdal",22
"rgenoud",13
"rggobi",16
"rgl",21
"RgoogleMaps",16
"rgp",7
"RGraphics",20
"rgrs",22
"RGtk2",18
"RGtk2DfEdit",18
"RGtk2Extras",18
"RH2",2
"RHmm",10
"RHRV",10
"richards",11
"Rigroup",9
"rimage",16
"rioja",10
"ripa",18
"ris",13
"RItools",22
"RJaCGH",25
"rjags",13
"rJava",2
"RJDBC",2
"rJython",8
"Rlab",23
"Rlabkey",5
"RLastFM",20
"rlecuyer",8
"RLRsim",3
"RM2",7
"RMC",19
"rmeta",20
"rmetasim",13
"Rmpfr",2
"Rmpi",15
"rms",17
"RMTstat",3
"RMySQL",2
"RNCBI",8
"RNetCDF",15
"Rniftilib",5
"RobAStBase",4
"robCompositions",19
"RobLox",4
"RobLoxBioC",24
"RobRex",4
"robust",4
"robustX",11
"rocc",24
"ROCR",24
"RODBC",2
"RODM",6
"rootSolve",21
"ROptEst",4
"ROptEstOld",4
"ROptRegTS",4
"ROracle",2
"ROracleUI",8
"roxygen",8
"Rpad",8
"rpanel",21
"rpart",17
"rpartOrdinal",17
"RpgSQL",2
"RPMG",20
"RPMM",3
"rPorta",13
"RPostgreSQL",2
"RPPanalyzer",24
"RProtoBuf",2
"rpsychi",3
"rpubchem",15
"rpvm",9
"RPyGeo",8
"RQDA",20
"RQuantLib",9
"rredis",13
"rrp",5
"rrules",8
"Rsac",16
"RSAGA",16
"RScaLAPACK",25
"RSEIS",20
"RSeqMeth",13
"Rserve",8
"Rsge",8
"RSiena",20
"RSiteSearch",8
"rsm",5
"Rsolnp",13
"rsprng",15
"RSQLite",2
"rstream",16
"Rsundials",21
"RSurvey",21
"RSVGTipsDevice",20
"RthroughExcelWorkbooksInstaller",2
"rtiff",16
"RTisean",25
"rTOFsPRO",11
"RTOMO",20
"rtv",20
"Runiversal",8
"runjags",13
"Runuran",12
"Rvelslant",5
"rvgtest",19
"Rvmmin",13
"Rwave",20
"RWeka",1
"rwm",8
"rWMBAT",24
"rworldmap",6
"rwt",20
"RxCEcolInf",19
"RXshrink",24
"Ryacas",8
"s20x",23
"SAFD",1
"sampleSelection",1
"samplesize",3
"SampleSizeMeans",25
"SampleSizeProportions",25
"samplingbook",3
"samr",24
"sandwich",1
"sapa",25
"SAPP",11
"SASmixed",23
"SASPECT",15
"SASxport",22
"saws",3
"sBF",11
"sbgcop",10
"sca",25
"scaleboot",17
"scape",21
"scapeMCMC",21
"scaRabee",1
"scatterplot3d",21
"schoolmath",20
"schwartz97",25
"sciplot",21
"SciViews",21
"ScottKnott",4
"scout",24
"scrapeR",8
"scrime",6
"scuba",5
"sculpt3d",21
"sda",24
"SDaA",23
"sdcMicro",19
"sdcTable",24
"SDDA",10
"sde",25
"sdef",22
"SDisc",6
"SDMTools",16
"sdtalt",23
"sdtoolkit",20
"season",1
"secr",21
"seewave",21
"segclust",11
"segmented",11
"SEL",11
"sem",14
